agg,int,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,infra,situ,obs,indemne,tue,hospitalisé,blessé,nb_acc
1,1,2.0,1.0,2.0,0.0,1.0,1.0,10.0,100.0,0.0,2.0,0.0,1,0,1,1,3
1,1,2.0,1.0,2.0,0.0,1.0,1.0,15.0,70.0,0.0,1.0,13.0,0,0,1,0,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,15.0,70.0,0.0,3.0,3.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,15.0,75.0,0.0,1.0,0.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,20.0,40.0,0.0,1.0,0.0,1,0,0,1,2
1,1,2.0,1.0,2.0,0.0,1.0,1.0,20.0,70.0,0.0,1.0,0.0,2,0,1,2,5
1,1,2.0,1.0,2.0,0.0,1.0,1.0,20.0,70.0,0.0,1.0,2.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,20.0,70.0,0.0,2.0,0.0,0,0,5,0,5
1,1,2.0,1.0,2.0,0.0,1.0,1.0,20.0,140.0,0.0,1.0,0.0,2,0,1,0,3
1,1,2.0,1.0,2.0,0.0,1.0,1.0,25.0,70.0,0.0,3.0,16.0,0,0,1,0,1
1,1,2.0,1.0,2.0,0.0,1.0,2.0,0.0,60.0,0.0,3.0,3.0,0,0,1,0,1
1,1,2.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,2,0,0,1,3
1,1,2.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,16.0,0,0,0,2,2
1,1,2.0,1.0,2.0,0.0,1.0,3.0,20.0,70.0,0.0,1.0,3.0,1,0,0,0,1
1,1,2.0,1.0,2.0,0.0,1.0,3.0,20.0,70.0,0.0,1.0,14.0,2,0,1,1,4
1,1,2.0,1.0,2.0,0.0,2.0,1.0,10.0,75.0,3.0,1.0,13.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,2.0,1.0,10.0,150.0,0.0,3.0,13.0,0,0,2,0,2
1,1,2.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,3.0,1,0,0,1,2
1,1,2.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,4.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,2.0,3.0,0.0,70.0,0.0,1.0,3.0,3,0,1,1,5
1,1,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0,0,1,0,1
1,1,2.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,13.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,3.0,3.0,10.0,150.0,0.0,1.0,0.0,1,0,0,1,2
1,1,2.0,1.0,2.0,0.0,4.0,1.0,0.0,78.0,0.0,3.0,9.0,0,0,0,1,1
1,1,2.0,1.0,2.0,3.0,1.0,1.0,0.0,70.0,0.0,1.0,3.0,0,0,1,2,3
1,1,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,2
1,1,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2,0,0,2,4
1,1,2.0,1.0,3.0,0.0,2.0,3.0,0.0,50.0,3.0,1.0,0.0,0,0,1,0,1
1,1,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,2,1,5
1,1,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1,1,0,0,2
1,1,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0,0,0,1,1
1,1,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,0,0,1,2,3
1,1,2.0,1.0,4.0,0.0,1.0,1.0,30.0,70.0,0.0,1.0,13.0,2,0,2,3,7
1,1,2.0,1.0,4.0,0.0,1.0,1.0,30.0,70.0,0.0,1.0,14.0,1,0,0,2,3
1,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,2,0,2
1,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,60.0,0.0,1.0,0.0,0,0,3,0,3
1,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,70.0,0.0,1.0,0.0,1,0,5,0,6
1,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,70.0,5.0,1.0,0.0,1,0,1,0,2
1,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,73.0,0.0,3.0,2.0,0,0,1,0,1
1,1,2.0,2.0,0.0,0.0,1.0,1.0,10.0,75.0,0.0,1.0,0.0,4,0,2,0,6
1,1,2.0,2.0,0.0,0.0,2.0,1.0,0.0,77.0,0.0,1.0,0.0,4,0,0,1,5
1,1,2.0,2.0,0.0,0.0,2.0,1.0,35.0,0.0,0.0,3.0,13.0,0,0,1,0,1
1,1,2.0,2.0,0.0,0.0,2.0,1.0,72.0,72.0,0.0,1.0,0.0,1,0,3,0,4
1,1,2.0,2.0,0.0,0.0,2.0,3.0,0.0,70.0,0.0,1.0,0.0,2,0,2,0,4
1,1,2.0,2.0,2.0,0.0,0.0,1.0,0.0,63.0,0.0,3.0,13.0,0,1,0,0,1
1,1,2.0,2.0,2.0,0.0,0.0,1.0,0.0,67.0,0.0,1.0,0.0,0,0,1,0,1
1,1,2.0,2.0,2.0,0.0,0.0,1.0,0.0,71.0,0.0,1.0,0.0,1,1,0,0,2
1,1,2.0,2.0,2.0,0.0,0.0,2.0,10.0,70.0,0.0,3.0,13.0,0,0,1,0,1
1,1,2.0,2.0,2.0,0.0,0.0,3.0,0.0,60.0,0.0,1.0,0.0,1,0,1,0,2
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5,3,16,6,30
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0,1,0,0,1
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0,0,2,0,2
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,42.0,0.0,1.0,0.0,2,0,1,0,3
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,62.0,0.0,1.0,0.0,1,0,3,0,4
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,68.0,0.0,1.0,13.0,0,0,1,0,1
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,69.0,0.0,1.0,0.0,1,1,0,0,2
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,70.0,0.0,1.0,0.0,8,1,4,1,14
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,70.0,0.0,1.0,2.0,0,0,0,2,2
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,71.0,5.0,1.0,0.0,1,0,0,1,2
1,1,2.0,2.0,2.0,0.0,1.0,1.0,0.0,72.0,0.0,1.0,0.0,4,1,4,0,9
